GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kaddem,tn.esprit.spring.kaddem,KaddemApplication,5,3,0,0,2,1,1,1,1,1
Kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,30,6,0,0,9,1,5,1,5,1
Kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,34,6,0,0,11,1,6,1,6,1
Kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,41,6,0,0,12,1,7,1,7,1
Kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,53,6,0,0,14,1,9,1,9,1
Kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,50,6,0,0,14,1,8,1,8,1
Kaddem,tn.esprit.spring.kaddem.entities,Universite,36,3,0,0,16,2,8,1,8,1
Kaddem,tn.esprit.spring.kaddem.entities,Niveau,0,21,0,0,0,2,0,1,0,1
Kaddem,tn.esprit.spring.kaddem.entities,Contrat,94,25,0,0,29,11,12,6,12,6
Kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,49,3,0,0,21,2,10,1,10,1
Kaddem,tn.esprit.spring.kaddem.entities,Option,0,27,0,0,0,2,0,1,0,1
Kaddem,tn.esprit.spring.kaddem.entities,Equipe,95,3,0,0,40,2,15,1,15,1
Kaddem,tn.esprit.spring.kaddem.entities,Departement,36,3,0,0,16,2,8,1,8,1
Kaddem,tn.esprit.spring.kaddem.entities,Etudiant,78,10,0,0,33,5,15,3,15,3
Kaddem,tn.esprit.spring.kaddem.entities,Specialite,0,27,0,0,0,2,0,1,0,1
Kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,163,10,22,0,35,2,17,2,6,2
Kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,120,138,19,7,24,31,12,12,1,10
Kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,71,3,0,0,14,2,7,1,7,1
Kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,89,7,0,0,18,2,8,2,8,2
Kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,33,7,0,0,7,2,5,2,5,2
